,title,price,link,appliance
0,kenmore refrigerator $50,50.0,https://charlottesville.craigslist.org/app/d/louisa-kenmore-refrigerator-50/7820815456.html,refrigerator
1,air fryer,60.0,https://charlottesville.craigslist.org/app/d/charlottesville-air-fryer/7822498844.html,fryer
2,kitchen appliances and vacuums,1.0,https://charlottesville.craigslist.org/app/d/culpeper-kitchen-appliances-and-vacuums/7819570350.html,vacuums
3,new elite gourmet crock pot slow cooker,25.0,https://charlottesville.craigslist.org/app/d/charlottesville-new-elite-gourmet-crock/7818717841.html,cooker
4,for sale: frigidaire ffra051wae window-mounted room air conditioner -,125.0,https://charlottesville.craigslist.org/app/d/waynesboro-for-sale-frigidaire/7815586655.html,missing
5,front loading washer and dryer,350.0,https://charlottesville.craigslist.org/app/d/ivy-front-loading-washer-and-dryer/7822053558.html,dryer
6,cast iron sink,225.0,https://charlottesville.craigslist.org/app/d/charlottesville-cast-iron-sink/7817876373.html,sink
7,portable dishwasher must go this week,100.0,https://charlottesville.craigslist.org/app/d/lovingston-portable-dishwasher-must-go/7821369485.html,dishwasher
8,3 in 1 cooker,30.0,https://charlottesville.craigslist.org/app/d/quinque-in-cooker/7821913172.html,cooker
9,sanyo mini refrigerator,20.0,https://charlottesville.craigslist.org/app/d/quinque-sanyo-mini-refrigerator/7821912888.html,refrigerator
10,must go!,0.0,https://charlottesville.craigslist.org/app/d/charlottesville-must-go/7821459487.html,missing
11,whole house vacuum unit,150.0,https://charlottesville.craigslist.org/app/d/charlottesville-whole-house-vacuum-unit/7821299427.html,missing
12,appliance cords,15.0,https://charlottesville.craigslist.org/app/d/montpelier-appliance-cords/7814371122.html,cords
13,new electrolux ventless electric dryer,285.0,https://charlottesville.craigslist.org/app/d/charlottesville-new-electrolux-ventless/7821208160.html,dryer
14,large room air conditioner,200.0,https://charlottesville.craigslist.org/app/d/scottsville-large-room-air-conditioner/7821183872.html,missing
15,ge 1050-watt air fry countertop convection microwave (stainless steel),149.0,https://charlottesville.craigslist.org/app/d/troy-ge-1050-watt-air-fry-countertop/7821175637.html,microwave
16,like new 7.2 cu. ft. vented electric dryer with sensor dry in white,400.0,https://charlottesville.craigslist.org/app/d/charlottesville-like-new-72-cu-ft/7816178624.html,dryer
17,ge refrigerator freezer,80.0,https://charlottesville.craigslist.org/app/d/charlottesville-ge-refrigerator-freezer/7820938759.html,refrigerator
18,electric coffee maker,0.0,https://charlottesville.craigslist.org/app/d/charlottesville-electric-coffee-maker/7820173499.html,coffee
19,"32"" fridgadare upright freezer",400.0,https://charlottesville.craigslist.org/app/d/charlottesville-32-fridgadare-upright/7820101027.html,freezer
20,hunter fan air purifier ion generator,25.0,https://charlottesville.craigslist.org/app/d/charlottesville-hunter-fan-air-purifier/7819917488.html,missing
21,frigidaire electric stove / oven,350.0,https://charlottesville.craigslist.org/app/d/waynesboro-frigidaire-electric-stove/7817981568.html,stove
22,dyson oem dc14 hose assembly dys-908474-28,25.0,https://charlottesville.craigslist.org/app/d/pratts-dyson-oem-dc14-hose-assembly-dys/7819580007.html,missing
23,dyson dc14 lavender/trans violet cyclone assembly 908658-08,50.0,https://charlottesville.craigslist.org/app/d/pratts-dyson-dc14-lavender-trans-violet/7819579866.html,missing
24,ge 1150watt microwave,20.0,https://charlottesville.craigslist.org/app/d/charlottesville-ge-1150watt-microwave/7816397843.html,microwave
25,microwave oven counter top frigidaire,100.0,https://charlottesville.craigslist.org/app/d/charlottesville-microwave-oven-counter/7819548379.html,microwave
26,american standard 30-in x 60-in white acrylic alcove soaking bathtub w,499.0,https://charlottesville.craigslist.org/app/d/charlottesville-american-standard-30-in/7819432575.html,missing
27,led desk lamp,10.0,https://charlottesville.craigslist.org/app/d/charlottesville-led-desk-lamp/7819424898.html,missing
28,true commercial refridgerator,650.0,https://charlottesville.craigslist.org/app/d/charlottesville-true-commercial/7818997487.html,missing
29,commercial restaurant  pressure fryer,800.0,https://charlottesville.craigslist.org/app/d/charlottesville-commercial-restaurant/7813281607.html,fryer
30,new bosch dishwasher w/panel and 3-year protection  ada compliant,595.0,https://charlottesville.craigslist.org/app/d/lexington-new-bosch-dishwasher-panel/7815613078.html,dishwasher
31,oxo 9 cup drip coffee maker,115.0,https://charlottesville.craigslist.org/app/d/charlottesville-oxo-cup-drip-coffee/7817765959.html,coffee
32,portable heaters,80.0,https://charlottesville.craigslist.org/app/d/charlottesville-portable-heaters/7817451251.html,missing
33,commercial/restaurant grade vulcan gas stove,,https://charlottesville.craigslist.org/app/d/pratts-commercial-restaurant-grade/7817276979.html,stove
